"image_name","f_V2","V2","f_V3","target"
"ISIC_0052060",0.053497687,0.07935387,0.047880653,0.06024407
"ISIC_0052349",0.073269606,0.021219365,0.13942558,0.077971517
"ISIC_0058510",0.023719208,0.0031922385,0.0902699,0.0390604488333333
"ISIC_0073313",0.014892195,0.0004124388,0.12128108,0.0455285712666667
"ISIC_0073502",0.07007914,0.13301785,0.13890605,0.114001013333333
"ISIC_0074618",0.12742852,0.07427264,0.26168397,0.15446171
"ISIC_0076801",0.11171806,0.0378836,0.11170224,0.0871013
"ISIC_0077586",0.08038015,0.12151223,0.22326721,0.141719863333333
"ISIC_0082004",0.11853091,0.019660197,0.124024145,0.087405084
"ISIC_0082785",0.09374574,0.033877492,0.1998139,0.109145710666667
"ISIC_0085332",0.06401638,0.005197709,0.03264906,0.033954383
"ISIC_0087243",0.04936445,0.0020122274,0.08698318,0.0461199524666667
"ISIC_0088167",0.10819388,0.08487472,0.17717768,0.123415426666667
"ISIC_0089356",0.009175142,0.00010314621,0.04516078,0.01814635607
"ISIC_0090283",0.14485073,0.13943952,0.28775826,0.190682836666667
"ISIC_0092481",0.026926583,0.028055593,0.108907916,0.0546300306666667
"ISIC_0095455",0.032492366,0.064932235,0.07720614,0.058210247
"ISIC_0095790",0.052551735,0.004256205,0.035398886,0.0307356086666667
"ISIC_0097719",0.114581995,0.17301331,0.32096127,0.202852191666667
"ISIC_0099348",0.052995667,0.12675388,0.36313286,0.180960802333333
"ISIC_0101040",0.07845354,0.05463633,0.16948514,0.100858336666667
"ISIC_0101383",0.05490722,0.08589417,0.18389226,0.108231216666667
"ISIC_0105104",0.14269604,0.035722565,0.21311893,0.130512511666667
"ISIC_0108196",0.05247407,0.032139327,0.15269007,0.0791011556666667
"ISIC_0112420",0.25283408,0.223439,0.30020794,0.258827006666667
"ISIC_0114232",0.013026685,0.0018952396,0.037122186,0.0173480368666667
"ISIC_0115798",0.010746169,0.0023694038,0.06398439,0.0256999876
"ISIC_0116844",0.01037525,0.0021113649,0.049098235,0.0205282833
"ISIC_0126432",0.0601923,0.018598117,0.12336288,0.0673844323333333
"ISIC_0131485",0.016076982,0.0014470351,0.029265905,0.0155966407
"ISIC_0131912",0.024994453,0.00665177,0.107548736,0.0463983196666667
"ISIC_0131978",0.009200834,0.0005715275,0.030412868,0.0133950765
"ISIC_0139322",0.054121375,0.05547433,0.23661579,0.115403831666667
"ISIC_0142066",0.13632739,0.048746128,0.20768481,0.130919442666667
"ISIC_0143109",0.078641705,0.10440832,0.29871058,0.160586868333333
"ISIC_0148210",0.04511362,0.08168832,0.18903653,0.10527949
"ISIC_0148937",0.054035068,0.06330257,0.08586419,0.0677339426666667
"ISIC_0150213",0.12944098,0.12251098,0.257681,0.169877653333333
"ISIC_0152553",0.041396927,0.00008709051,0.0401272,0.02720373917
"ISIC_0153127",0.042362213,0.0005512266,0.06482232,0.0359119198666667
"ISIC_0154289",0.02343373,0.029106373,0.04838623,0.033642111
"ISIC_0155813",0.18910806,0.11490043,0.24851854,0.184175676666667
"ISIC_0155983",0.17687775,0.24836598,0.49210703,0.305783586666667
"ISIC_0157088",0.031808306,0.01015225,0.08569014,0.042550232
"ISIC_0158761",0.011692989,0.0035781625,0.06525954,0.0268435638333333
"ISIC_0161963",0.23824984,0.09630563,0.3182691,0.21760819
"ISIC_0165178",0.11236065,0.13159807,0.24664216,0.163533626666667
"ISIC_0165230",0.16236117,0.056934852,0.1430741,0.120790040666667
"ISIC_0165615",0.028207107,0.015678711,0.0994995,0.047795106
"ISIC_0165617",0.0728267,0.08918419,0.2052901,0.122433663333333
"ISIC_0165674",0.040175095,0.0059016733,0.05275646,0.0329444094333333
"ISIC_0165928",0.050528232,0.07228606,0.18324216,0.102018817333333
"ISIC_0166561",0.043310676,0.0008934971,0.049580336,0.0312615030333333
"ISIC_0168125",0.10135115,0.1872728,0.22866653,0.17243016
"ISIC_0169378",0.09682802,0.13847335,0.25098276,0.16209471
"ISIC_0169575",0.015997583,0.0075413752,0.09153682,0.0383585927333333
"ISIC_0169906",0.12300799,0.28384694,0.30449668,0.237117203333333
"ISIC_0171865",0.07296868,0.15741737,0.1523141,0.127566716666667
